Date,Year,Direction,Day,Dist,ElapsedTime,ElapsedNum,AvgPace,AvgPaceNum,AvgSpeed,TotalAscent,TotalDescent,MinTemp,MaxTemp,Calories,AvgHR,Sleep,SleepNum
2022-07-01 4:37:20,2022,NoBo,31,44.14,14:57:22,14.956111,20:20,20.333333,2.95,10270,9153,59,84,5201,114,7:32:38,7.54389
2022-06-30 4:02:09,2022,NoBo,30,53.36,18:36:25,18.606944,20:55,20.916667,2.86,11696,12182,54,90,6172,110,3:53:35,3.89306
2022-06-29 7:02:06,2022,NoBo,29,42.36,13:48:10,13.802778,19:33,19.550000,3.07,8625,8853,59,81,4864,113,8:41:50,8.69722
2022-06-28 4:00:36,2022,NoBo,28,55.83,19:15:04,19.251111,20:42,20.700000,2.91,14305,12780,55,84,6781,113,3:14:56,3.24889
2022-06-27 5:03:41,2022,NoBo,27,52.06,16:09:43,16.161944,18:38,18.633333,3.22,11065,10956,64,84,6030,118,6:20:17,6.33806
2022-06-26 4:00:00,2022,NoBo,26,54.69,18:31:29,18.524722,20:19,20.316667,2.95,12080,12217,61,90,6398,116,3:58:31,3.97528
2022-06-25 4:16:29,2022,NoBo,25,53.29,16:26:27,16.440833,18:31,18.516667,3.24,7791,7904,63,86,5874,115,6:03:33,6.05917
2022-06-24 4:36:05,2022,NoBo,24,53.26,16:40:06,16.668333,18:46,18.766667,3.2,6592,7302,57,88,5807,113,5:49:54,5.83167
2022-06-23 5:06:13,2022,NoBo,23,50.22,16:25:03,16.417500,19:36,19.600000,3.06,7080,6954,59,79,5529,105,6:04:57,6.08250
2022-06-22 3:58:58,2022,NoBo,22,60.28,18:08:46,18.146111,18:04,18.066667,3.33,9359,8545,63,84,6735,111,4:21:14,4.35389
2022-06-21 4:01:15,2022,NoBo,21,60.41,16:14:06,16.235000,16:08,16.133333,3.73,8120,8633,59,104,6648,117,6:15:54,6.26500
2022-06-20 4:05:18,2022,NoBo,20,53.62,15:28:29,15.474722,17:19,17.316667,3.47,9086,9047,52,79,5931,114,7:01:31,7.02528
2022-06-19 4:03:14,2022,NoBo,19,54.37,16:13:38,16.227222,17:54,17.900000,3.34,11705,13132,50,81,6018,114,6:16:22,6.27278
2022-06-18 4:02:07,2022,NoBo,18,51.03,14:59:08,14.985556,17:37,17.616667,3.41,10620,11305,57,77,6043,122,7:30:52,7.51444
2022-06-17 4:04:35,2022,NoBo,17,55.7,16:31:38,16.527222,17:48,17.800000,3.38,12191,11607,66,90,6081,112,5:58:22,5.97278
2022-06-16 4:03:06,2022,NoBo,16,52.19,17:26:24,17.440000,20:03,20.050000,2.98,13338,11985,72,88,5768,112,5:03:36,5.06000
2022-06-15 4:01:12,2022,NoBo,15,53.83,17:35:13,17.586944,19:36,19.600000,3.06,12681,14214,70,90,5466,108,4:54:47,4.91306
2022-06-14 4:03:41,2022,NoBo,14,49.65,17:19:27,17.324167,20:56,20.933333,2.86,12363,11406,66,91,5792,109,5:10:33,5.17583
2022-06-13 4:03:05,2022,NoBo,13,55.93,16:31:49,16.530278,17:44,17.733333,3.37,11987,12568,64,93,6169,112,5:58:11,5.96972
2022-06-12 4:01:22,2022,NoBo,12,54.59,15:54:49,15.913611,17:30,17.500000,3.43,10716,11023,63,90,6224,118,6:35:11,6.58639
2022-06-11 3:55:23,2022,NoBo,11,49.92,17:25:08,17.418889,20:56,20.933333,2.86,11426,12197,54,82,5500,104,5:04:52,5.08111
